LG,position_window,n_mean,cm_male_mean,cm_female_mean,cm_sex_averaged_mean,cm_span_male_mean,cm_span_female_mean,cm_mb_male_mean,cm_mb_female_mean,cm_mb_sex_averaged_mean,crossovers_male_mean,crossovers_female_mean,crossovers_sex_averaged_mean,bp_position_mean,windowed_correlation_mean,male_distortion_mean,female_distortion_mean,Mendelian_distortion_mean,n_sum,cm_male_sum,cm_female_sum,cm_sex_averaged_sum,cm_span_male_sum,cm_span_female_sum,cm_mb_male_sum,cm_mb_female_sum,cm_mb_sex_averaged_sum,crossovers_male_sum,crossovers_female_sum,crossovers_sex_averaged_sum,bp_position_sum,windowed_correlation_sum,male_distortion_sum,female_distortion_sum,Mendelian_distortion_sum,window_end
LG1,12,227,44.8708672985782,14.0801848341232,29.4755260663507,0.536999999999999,1.075,0.000000536999999999999,0.000001075,0.000000805999999999997,0.004739336492891,0.00947867298578199,0.00710900473933649,12457579.6255507,0.808745463368734,2.77397666666667,0.0645206666666667,1.21824333333333,51529,9467.753,2970.919,6219.336,121.899,244.025,0.000121899,0.000244025,0.000182961999999999,1,2,1.5,2827870575,183.585220184703,8.32193,0.193562,3.65473,13000000
LG1,13,344,45.161,14.8946560509554,30.0278280254777,0,0.538,0,0.000000538,0.000000269000000000002,0,0.00318471337579618,0.00159235668789809,13443419.5697674,NA,2.60825,0.0860281,0.93994,118336,14180.554,4676.922,9428.738,0,185.072,0,0.000185072,0.0000925360000000006,0,1,0.5,4624536332,0,2.60825,0.0860281,0.93994,14000000
LG1,14,170,45.5513137254902,16.2378823529412,30.8945980392157,0.537999999999997,1.613,0.000000537999999999997,0.000001613,0.0000010755,0.0065359477124183,0.0261437908496732,0.0163398692810458,14365278.8529412,0.721921317546394,3.005994,0.253826,0.9406912,28900,6969.351,2484.396,4726.8735,91.4599999999994,274.21,0.0000914599999999994,0.00027421,0.000182835,1,4,2.5,2442097405,122.726623982887,15.02997,1.26913,4.703456,15000000
LG1,15,224,46.1709019607843,17.3305882352941,31.7507450980392,1.613,0.538,0.000001613,0.000000538,0.0000010755,0.0147058823529412,0.00490196078431373,0.00980392156862745,15426699.5982143,0.732470630927802,3.792535,0.4894685,0.9606085,50176,9418.864,3535.44,6477.152,361.312,120.512,0.000361312,0.000120512,0.000240912,3,1,2,3455580710,164.073421327828,15.17014,1.957874,3.842434,16000000
LG1,16,167,47.4522356687898,18.2936114649682,32.872923566879,0.536999999999999,1.075,0.000000536999999999999,0.000001075,0.000000805999999999997,0.00636942675159236,0.0127388535031847,0.00955414012738853,16455027.1497006,0.498025911343808,3.28573333333333,0.408759333333333,0.881252333333333,27889,7450.001,2872.097,5161.049,89.6789999999998,179.525,0.0000896789999999998,0.000179525,0.000134602,1,2,1.5,2747989534,83.1703271944159,9.8572,1.226278,2.643757,17000000
LG1,17,83,47.8780810810811,19.6380135135135,33.7580472972973,0.538000000000004,1.613,0.000000538000000000004,0.000001613,0.00000107550000000001,0.0135135135135135,0.0405405405405405,0.027027027027027,17247854.9759036,0.240637962270048,2.93970333333333,0.695786,0.425325666666667,6889,3542.978,1453.213,2498.0955,44.6540000000003,133.879,0.0000446540000000003,0.000133879,0.0000892665000000004,1,3,2,1431571963,19.972950868414,8.81911,2.087358,1.275977,18000000
LG1,18,39,48.387,22.2549393939394,35.3209696969697,0,0.538,0,0.000000538,0.000000268999999999998,0,0.121212121212121,0.0606060606060606,18401133.9230769,NA,2.60825,0.656313,0.336846,1521,1596.771,734.413,1165.592,0,20.982,0,0.000020982,0.0000104909999999999,0,4,2,717644223,0,5.2165,1.312626,0.673692,19000000
LG1,19,244,48.387,24.998730941704,36.692865470852,0,6.451,0,0.000006451,0.0000032255,0,0.0538116591928251,0.0269058295964126,19554867.3729508,NA,2.60825,0.944206285714286,0.440119428571429,59536,10790.301,5574.717,8182.509,0,1574.044,0,0.001574044,0.000787021999999999,0,12,6,4771387639,0,18.25775,6.609444,3.080836,20000000
LG1,20,150,48.9033064516129,29.5569838709677,39.2301451612903,0.537999999999997,0.538,0.000000537999999999997,0.000000538,0.000000538000000000004,0.00806451612903226,0.00806451612903226,0.00806451612903226,20525769.6266667,0.768168369973731,2.85684,2.60825,0.66206,22500,6064.01,3665.066,4864.538,80.6999999999995,80.7,0.0000806999999999995,0.0000807,0.0000807000000000006,1,1,1,3078865444,115.22525549606,5.71368,5.2165,1.32412,21000000
LG1,21,95,48.925,30.0948095238095,39.5099047619048,0,1.613,0,0.000001613,0.0000008065,0,0.0476190476190476,0.0238095238095238,21373688.5157895,NA,3.10543,1.7555175,1.3275125,9025,4109.7,2527.964,3318.832,0,153.235,0,0.000153235,0.0000766175,0,4,2,2030500409,0,12.42172,7.02207,5.31005,22000000
